INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Albertus Magnus College,991,41908,41908,59407,0.5148
University of Bridgeport,1534,35760,35760,52957,0.4119
Central Connecticut State University,7822,13050,16550,24870,0.4844
Charter Oak State College,1821,8506,8506,23210,0.6667
Connecticut College,1937,67242,67242,84623,0.8205
University of Connecticut,19835,21044,43712,39426,0.8329
Eastern Connecticut State University,3418,13928,17428,31983,0.5752
Fairfield University,5373,58350,58350,76074,0.843
University of Hartford,4146,49075,49075,64729,0.5438
University of New Haven,4841,47332,47332,66962,0.6307
Post University,13603,16327,16327,28897,0.2493
Quinnipiac University,6531,55480,55480,72215,0.757
Sacred Heart University,7087,50404,50404,69289,0.7346
Southern Connecticut State University,6295,13438,27378,29673,0.4993
Trinity College,2146,70770,70770,87840,0.8377
Wesleyan University,3067,70342,70342,89020,0.9264
Western Connecticut State University,3511,13401,16901,24877,0.5176
Yale University,6758,67250,67250,88300,0.9574
University of Connecticut-Stamford,2432,18150,40818,30122,0.5654
University of Connecticut-Hartford Campus,1525,18130,40798,26946,0.6505
