fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,svi_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_code,naics_description,project_announced_description,investment_dollars,number_of_investments
2019,Iowa,Adair,03,Community Facilities,Grants (CF),50002,Not Socially Vulnerable,"ADAIR, CITY OF",FY19 FIRE STATION EQUIPMENT,Grant Funds,Adair,Not Applicable,CF GRANTS,Wholesale Trade (42),19001,421850,FIRE PROTECTION EQUIPMENT,Detailed Project Description Not Available,25000,1
2019,Iowa,Adair,03,Multifamily Housing,Preservation Grants (MFH),50849,Not Socially Vulnerable,GREENFIELD SENIOR CITIZEN HSG CORP,MAPLE VILLAGE,Grant Funds,Greenfield,Not Applicable,REVITALIZATION GRANT,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,139880,1
2019,Iowa,Adair,03,Multifamily Housing,Preservation Loans (MFH),50849,Not Socially Vulnerable,GREENFIELD SENIOR CITIZEN HSG CORP,MAPLE VILLAGE,Loan Funds - Direct,Greenfield,Not Applicable,REVITALIZATION BULLET /  SOFT SECOND LOAN,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,811760,1
2019,Iowa,Adair,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Socially Vulnerable,Name Withheld,GREENFIELD PARK APT,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,6126,1
2019,Iowa,Adair,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Socially Vulnerable,Name Withheld,GREENFIELD PARK APT,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,96966,2
2019,Iowa,Adair,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Socially Vulnerable,Name Withheld,MAPLE VILLAGE,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,34623,1
2019,Iowa,Adair,03,Single Family Housing,Direct Loans (SFH),Zip Code Withheld,Not Socially Vulnerable,Name Withheld,NOT APPLICABLE,Loan Funds - Direct,City Name Withheld,Not Applicable,502 LOAN - GENERAL INTEREST SUBSIDY VERY LOW INCOME,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,151400,1
2019,Iowa,Adair,03,Single Family Housing,Guaranteed Loans (SFH),Zip Code Withheld,Not Socially Vulnerable,Name Withheld,NOT APPLICABLE,Loan Funds - Guaranteed,City Name Withheld,"CLICK N' CLOSE, INC.",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOANS - WITH ANNUAL FEES ASSIGNED,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,86767,1
2019,Iowa,Adair,03,Single Family Housing,Guaranteed Loans (SFH),Zip Code Withheld,Not Socially Vulnerable,Name Withheld,NOT APPLICABLE,Loan Funds - Guaranteed,City Name Withheld,FIRST INTERSTATE BANK,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOANS - WITH ANNUAL FEES ASSIGNED,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,117873,1
2019,Iowa,Adair,03,Single Family Housing,Guaranteed Loans (SFH),Zip Code Withheld,Not Socially Vulnerable,Name Withheld,NOT APPLICABLE,Loan Funds - Guaranteed,City Name Withheld,"FRONTIER FINANCIAL, INC.",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOANS - WITH ANNUAL FEES ASSIGNED,Real Estate and Rental and Leasing (53),19001,NA,Not Available,Detailed Project Description Not Available,88636,1
