fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,Montana,Beaverhead,01,Business Programs,Rural Business Development Grant (RBDG),59725,Not Persistent Poverty Community,BEAVERHEAD TOURISM & DEVELOPMENT COUNCIL,FY25 RBDG TECHNICAL ASSISTANCE,Grant Funds,Dillon,Not Applicable,RBCS ENTERPRISE GRANTS,Public Administration,30001,926110,ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS,Commercial,"USDA Rural Development is investing in a business development project with Beaverhead Tourism and Development Council to provide funding for a biodiesel zone report to assist a small business such as Spoon Logging in Dillon, Montana. This assistance will help increase the supply of wood products and is expected to result in creating three jobs and saving five.",75000,1
2026,Montana,Beaverhead,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,"FORRESTER, TYLER",Grant Funds,City Name Withheld,Not Applicable,MFH REVITALIZATION - TENANT VOUCHERS,Real Estate and Rental and Leasing,30001,NA,Not Available,Residential,Detailed Project Description Not Available,360,1
2026,Montana,Big Horn,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,RANGEVIEW APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,30003,NA,Not Available,Residential,Detailed Project Description Not Available,184327,1
2026,Montana,Blaine,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,FT. BELKNAP HOUSING DEVELOPMENT AGENCY,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,30005,NA,Not Available,Residential,Detailed Project Description Not Available,47987,1
2026,Montana,Blaine,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,PIONEER APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,30005,NA,Not Available,Residential,Detailed Project Description Not Available,85397,1
2026,Montana,Blaine,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,WINTRUST MORTGAGE ADO BARRINGTON B&T CO,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,30005,NA,Not Available,Residential,Detailed Project Description Not Available,303030,1
2026,Montana,Blaine,02,Water and Environmental,Direct Loan and Grant (WEP),59523,Persistent Poverty Community,"Chinook,City of",FY23 BABA Sewer Improvements,Grant Funds,Chinook,Not Applicable,(COMB LOAN & GRANT) WASTE DISPOSAL ONLY,Utilities,30005,NA,Not Available,Commercial,This investment through USDA Rural Development will help the City of Chinook make upgrades and improvements to its wastewater infrastructure. This project will stabilize the riverbank nest to the wastewater treatment plant. Clay pipe will be replaced with larger diameter PVC sewer pipe improving the system reliability by replacing very old areas of the collection system and meeting minimum sewer pipe size requirements. The community's north lift station will be replaced entirely. Six troublesome manholes in frequently accessed areas will be replaced. Cracking and seepage in the digester wall will be corrected. Other site and building improvements will be completed and overall these system improvements will protect the local environment from contamination and safeguard public health.,90000,1
2026,Montana,Blaine,02,Water and Environmental,Direct Loan and Grant (WEP),59523,Persistent Poverty Community,"Chinook,City of",FY23 BABA Sewer Improvements,Loan Funds - Direct,Chinook,Not Applicable,(COMB LOAN & GRANT) WASTE DISPOSAL ONLY,Utilities,30005,NA,Not Available,Commercial,This investment through USDA Rural Development will help the City of Chinook make upgrades and improvements to its wastewater infrastructure. This project will stabilize the riverbank nest to the wastewater treatment plant. Clay pipe will be replaced with larger diameter PVC sewer pipe improving the system reliability by replacing very old areas of the collection system and meeting minimum sewer pipe size requirements. The community's north lift station will be replaced entirely. Six troublesome manholes in frequently accessed areas will be replaced. Cracking and seepage in the digester wall will be corrected. Other site and building improvements will be completed and overall these system improvements will protect the local environment from contamination and safeguard public health.,10000,1
2026,Montana,Broadwater,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,BROADWATER VILLAS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,30007,NA,Not Available,Residential,Detailed Project Description Not Available,50954,1
2026,Montana,Broadwater,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,HOMESTEAD MANOR,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,30007,NA,Not Available,Residential,Detailed Project Description Not Available,73110,1
